Head,Relation,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text
contracting authority,reserve,the possibility to do so,['possibility'],TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
contracting authority,use,the open or restricted procedure for any purchase the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in article 175(1) to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender or to collect a list of vendors to be invited to submit requests to participate or submit tenders the design contest to acquire a plan or design selected by a jury after being put out to competition the innovation partnership to develop an innovative product service or innovative works and for the subsequent purchase of the resulting supply services or works the competitive procedure with negotiation or the competitive dialogue for concession contracts for the service contracts referred to in annex xiv to directive 201424eu in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed and for cases where this is justified by the specific circumstances linked inter alia to the nature or the complexity of the subject matter of the contract or to the specific type of contract as further detailed in annex i to this regulation l 193112   the negotiated procedure for contracts with a value below the thresholds referred to in article 175(1) or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of directive 201424eu or in the clearly defined exceptional circumstances set out in annex i to this regulation,"['open restrict procedure', 'purchase', 'procedure', 'expression', 'interest', 'contract', 'value', 'threshold', 'article', 'candidate', 'tender', 'response', 'future restrict invitation', 'list', 'vendor', 'request', 'tender', 'design contest', 'plan', 'design', 'jury', 'innovation partnership', 'innovative product service', 'innovative work', 'subsequent purchase', 'result supply service', 'competitive procedure', 'negotiation', 'competitive dialogue', 'concession contract', 'service contract', 'annex xiv', '201424eu', 'case', 'irregular unacceptable tender', 'response', 'open restrict procedure', 'initial procedure', 'case', 'specific circumstance', 'inter alia', 'nature', 'complexity', 'subject matter', 'contract', 'specific type', 'contract', 'annex', 'regulation l 193112      negotiate procedure', 'contract', 'value', 'threshold', 'article', 'negotiate procedure', 'prior publication', 'specific type', 'purchase', 'scope', 'directive 201424eu', 'clearly define exceptional circumstance', 'annex', 'regulation']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
candidate,invite,to submit tenders in response to future restricted invitations to tender or to collect a list of vendors to be invited to submit requests to participate or submit tenders the design contest to acquire a plan or design selected by a jury after being put out to competition the innovation partnership to develop an innovative product service or innovative works and for the subsequent purchase of the resulting supply services or works the competitive procedure with negotiation or the competitive dialogue for concession contracts for the service contracts referred to in annex xiv to directive 201424eu in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed and for cases where this is justified by the specific circumstances linked inter alia to the nature or the complexity of the subject matter of the contract or to the specific type of contract as further detailed in annex i to this regulation l 193112   the negotiated procedure for contracts with a value below the thresholds referred to in article 175(1) or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of directive 201424eu or in the clearly defined exceptional circumstances set out in annex i to this regulation,"['tender', 'response', 'future restrict invitation', 'list', 'vendor', 'request', 'tender', 'design contest', 'plan', 'design', 'jury', 'innovation partnership', 'innovative product service', 'innovative work', 'subsequent purchase', 'result supply service', 'competitive procedure', 'negotiation', 'competitive dialogue', 'concession contract', 'service contract', 'annex xiv', '201424eu', 'case', 'irregular unacceptable tender', 'response', 'open restrict procedure', 'initial procedure', 'case', 'specific circumstance', 'inter alia', 'nature', 'complexity', 'subject matter', 'contract', 'specific type', 'contract', 'annex', 'regulation l 193112      negotiate procedure', 'contract', 'value', 'threshold', 'article', 'negotiate procedure', 'prior publication', 'specific type', 'purchase', 'scope', 'directive 201424eu', 'clearly define exceptional circumstance', 'annex', 'regulation']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
irregular unacceptable tender,submit,where in response to an open or restricted procedure,"['response', 'open restrict procedure']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
dynamic purchasing system,be,open throughout a dynamic purchasing system duration to any economic operator who satisfies the selection criteria,"['dynamic purchasing system duration', 'economic operator', 'selection criterion']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
contracting authority,follow,the rules of the restricted procedure for procurement through a dynamic purchasing system,"['rule', 'restrict procedure', 'procurement', 'dynamic purchasing system']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures ,"Procurement procedures for awarding concession contracts or public contracts, including framework contracts shall take one of the following forms: (a) open procedure; (b) restricted procedure, including through a dynamic purchasing system; (c) design contest; (d) negotiated procedure, including without prior publication; (e) competitive dialogue; (f) competitive procedure with negotiation; (g) innovation partnership; (h) procedures involving a call for expression of interest. In open procedures any interested economic operator may submit a tender. In restricted procedures, competitive dialogues, competitive procedures with negotiation and innovation partner­ships, any economic operator may submit a request to participate by providing the information that is requested by the contracting authority. The contracting authority shall invite all candidates, that satisfy the selection criteria and that are not in any of the situations referred to in Articles 136(1) and 141(1), to submit a tender. Notwithstanding the first subparagraph, the contracting authority may limit the number of candidates to be invited to participate in the procedure on the basis of objective and non-discriminatory selection criteria, which shall be indicated in the contract notice or the call for expression of interest. The number of candidates invited shall be sufficient to ensure genuine competition. In all procedures involving negotiation, the contracting authority shall negotiate with tenderers the initial and any subsequent tenders or parts thereof, except their final tenders, in order to improve their content. The minimum requirements and the criteria specified in the procurement documents shall not be subject to negotiation. A contracting authority may award a contract on the basis of the initial tender without negotiation where it has indicated in the procurement documents that it reserves the possibility to do so. The contracting authority may use: (a) the open or restricted procedure for any purchase; (b) the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in Article 175(1), to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender, or to collect a list of vendors to be invited to submit requests to participate or submit tenders; (c) the design contest to acquire a plan or design selected by a jury after being put out to competition; (d) the innovation partnership to develop an innovative product, service or innovative works and for the subsequent purchase of the resulting supply, services or works; (e) the competitive procedure with negotiation or the competitive dialogue for concession contracts, for the service contracts referred to in Annex XIV to Directive 2014/24/EU, in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed, and for cases where this is justified by the specific circumstances linked, inter alia, to the nature or the complexity of the subject matter of the contract or to the specific type of contract, as further detailed in Annex I to this Regulation; L 193/112  (f) the negotiated procedure for contracts with a value below the thresholds referred to in Article 175(1), or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of Directive 2014/24/EU or in the clearly defined exceptional circumstances set out in Annex I to this Regulation. A dynamic purchasing system shall be open throughout its duration to any economic operator who satisfies the selection criteria. The contracting authority shall follow the rules of the restricted procedure for procurement through a dynamic purchasing system."
contract framework contract,be,where of interest to two or more union institutions executive agencies or union bodies,"['interest', 'union institution executive agency', 'union body']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement ,"Where a contract or a framework contract is of interest to two or more Union institutions, executive agencies or Union bodies referred to in Articles 70 and 71, and whenever there is a possibility for realising efficiency gains, the contracting authorities concerned may carry out the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities. The bodies and persons entrusted with the implementation of specific actions in the CFSP pursuant to Title V of the TEU as well as the Office of the Secretary of the Board of Governors of the European Schools may also participate in interinstitutional procedures. The terms of a framework contract shall only apply between those contracting authorities that are identified for that purpose in the procurement documents and those economic operators that are party to the framework contract. Where a contract or framework contract is necessary for the implementation of a joint action between a Union institution and one or more contracting authorities from Member States, the procurement procedure may be carried out jointly by the Union institution and the contracting authorities. Joint procurement may be conducted with EFTA States and Union candidate countries if that possibility has been specifically provided for in a bilateral or multilateral treaty. The procedural provisions applicable to Union institutions shall apply to the joint procurement. Where the share pertaining to or managed by the contracting authority of a Member State in the total estimated value of the contract is equal to or above 50 %, or in other duly justified cases, the Union institution may decide that the procedural rules applicable to the contracting authority of a Member State shall apply to the joint procurement, provided that those rules may be considered as equivalent to those of the Union institution. The Union institution and the contracting authority from a Member State, an EFTA State or a Union candidate country concerned by the joint procurement shall agree in particular upon the detailed practical arrangements for the evaluation of the requests for participation or of the tenders, the award of the contract, the law applicable to the contract and the competent court for hearing disputes."
contract framework contract,refer,to in articles 70 and 71,['article'],TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement ,"Where a contract or a framework contract is of interest to two or more Union institutions, executive agencies or Union bodies referred to in Articles 70 and 71, and whenever there is a possibility for realising efficiency gains, the contracting authorities concerned may carry out the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities. The bodies and persons entrusted with the implementation of specific actions in the CFSP pursuant to Title V of the TEU as well as the Office of the Secretary of the Board of Governors of the European Schools may also participate in interinstitutional procedures. The terms of a framework contract shall only apply between those contracting authorities that are identified for that purpose in the procurement documents and those economic operators that are party to the framework contract. Where a contract or framework contract is necessary for the implementation of a joint action between a Union institution and one or more contracting authorities from Member States, the procurement procedure may be carried out jointly by the Union institution and the contracting authorities. Joint procurement may be conducted with EFTA States and Union candidate countries if that possibility has been specifically provided for in a bilateral or multilateral treaty. The procedural provisions applicable to Union institutions shall apply to the joint procurement. Where the share pertaining to or managed by the contracting authority of a Member State in the total estimated value of the contract is equal to or above 50 %, or in other duly justified cases, the Union institution may decide that the procedural rules applicable to the contracting authority of a Member State shall apply to the joint procurement, provided that those rules may be considered as equivalent to those of the Union institution. The Union institution and the contracting authority from a Member State, an EFTA State or a Union candidate country concerned by the joint procurement shall agree in particular upon the detailed practical arrangements for the evaluation of the requests for participation or of the tenders, the award of the contract, the law applicable to the contract and the competent court for hearing disputes."
contract framework contract,be,a possibility for realising efficiency whenever,"['possibility', 'efficiency']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement ,"Where a contract or a framework contract is of interest to two or more Union institutions, executive agencies or Union bodies referred to in Articles 70 and 71, and whenever there is a possibility for realising efficiency gains, the contracting authorities concerned may carry out the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities. The bodies and persons entrusted with the implementation of specific actions in the CFSP pursuant to Title V of the TEU as well as the Office of the Secretary of the Board of Governors of the European Schools may also participate in interinstitutional procedures. The terms of a framework contract shall only apply between those contracting authorities that are identified for that purpose in the procurement documents and those economic operators that are party to the framework contract. Where a contract or framework contract is necessary for the implementation of a joint action between a Union institution and one or more contracting authorities from Member States, the procurement procedure may be carried out jointly by the Union institution and the contracting authorities. Joint procurement may be conducted with EFTA States and Union candidate countries if that possibility has been specifically provided for in a bilateral or multilateral treaty. The procedural provisions applicable to Union institutions shall apply to the joint procurement. Where the share pertaining to or managed by the contracting authority of a Member State in the total estimated value of the contract is equal to or above 50 %, or in other duly justified cases, the Union institution may decide that the procedural rules applicable to the contracting authority of a Member State shall apply to the joint procurement, provided that those rules may be considered as equivalent to those of the Union institution. The Union institution and the contracting authority from a Member State, an EFTA State or a Union candidate country concerned by the joint procurement shall agree in particular upon the detailed practical arrangements for the evaluation of the requests for participation or of the tenders, the award of the contract, the law applicable to the contract and the competent court for hearing disputes."
contract framework contract,gain,the contracting authorities concerned may carry out the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities,"['contracting authority', 'procedure', 'management', 'subsequent contract framework contract', 'interinstitutional basis', 'lead', 'contracting authority']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement ,"Where a contract or a framework contract is of interest to two or more Union institutions, executive agencies or Union bodies referred to in Articles 70 and 71, and whenever there is a possibility for realising efficiency gains, the contracting authorities concerned may carry out the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities. The bodies and persons entrusted with the implementation of specific actions in the CFSP pursuant to Title V of the TEU as well as the Office of the Secretary of the Board of Governors of the European Schools may also participate in interinstitutional procedures. The terms of a framework contract shall only apply between those contracting authorities that are identified for that purpose in the procurement documents and those economic operators that are party to the framework contract. Where a contract or framework contract is necessary for the implementation of a joint action between a Union institution and one or more contracting authorities from Member States, the procurement procedure may be carried out jointly by the Union institution and the contracting authorities. Joint procurement may be conducted with EFTA States and Union candidate countries if that possibility has been specifically provided for in a bilateral or multilateral treaty. The procedural provisions applicable to Union institutions shall apply to the joint procurement. Where the share pertaining to or managed by the contracting authority of a Member State in the total estimated value of the contract is equal to or above 50 %, or in other duly justified cases, the Union institution may decide that the procedural rules applicable to the contracting authority of a Member State shall apply to the joint procurement, provided that those rules may be considered as equivalent to those of the Union institution. The Union institution and the contracting authority from a Member State, an EFTA State or a Union candidate country concerned by the joint procurement shall agree in particular upon the detailed practical arrangements for the evaluation of the requests for participation or of the tenders, the award of the contract, the law applicable to the contract and the competent court for hearing disputes."
contracting authority concern,carry,the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities,"['procedure', 'management', 'subsequent contract framework contract', 'interinstitutional basis', 'lead', 'contracting authority']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement ,"Where a contract or a framework contract is of interest to two or more Union institutions, executive agencies or Union bodies referred to in Articles 70 and 71, and whenever there is a possibility for realising efficiency gains, the contracting authorities concerned may carry out the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities. The bodies and persons entrusted with the implementation of specific actions in the CFSP pursuant to Title V of the TEU as well as the Office of the Secretary of the Board of Governors of the European Schools may also participate in interinstitutional procedures. The terms of a framework contract shall only apply between those contracting authorities that are identified for that purpose in the procurement documents and those economic operators that are party to the framework contract. Where a contract or framework contract is necessary for the implementation of a joint action between a Union institution and one or more contracting authorities from Member States, the procurement procedure may be carried out jointly by the Union institution and the contracting authorities. Joint procurement may be conducted with EFTA States and Union candidate countries if that possibility has been specifically provided for in a bilateral or multilateral treaty. The procedural provisions applicable to Union institutions shall apply to the joint procurement. Where the share pertaining to or managed by the contracting authority of a Member State in the total estimated value of the contract is equal to or above 50 %, or in other duly justified cases, the Union institution may decide that the procedural rules applicable to the contracting authority of a Member State shall apply to the joint procurement, provided that those rules may be considered as equivalent to those of the Union institution. The Union institution and the contracting authority from a Member State, an EFTA State or a Union candidate country concerned by the joint procurement shall agree in particular upon the detailed practical arrangements for the evaluation of the requests for participation or of the tenders, the award of the contract, the law applicable to the contract and the competent court for hearing disputes."
term framework contract,apply,only between those contracting authorities that are identified for that purpose in the procurement documents and those economic operators that are party to the framework contract,"['contracting authority', 'purpose', 'procurement document', 'economic operator', 'party', 'framework contract']",TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement ,"Where a contract or a framework contract is of interest to two or more Union institutions, executive agencies or Union bodies referred to in Articles 70 and 71, and whenever there is a possibility for realising efficiency gains, the contracting authorities concerned may carry out the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities. The bodies and persons entrusted with the implementation of specific actions in the CFSP pursuant to Title V of the TEU as well as the Office of the Secretary of the Board of Governors of the European Schools may also participate in interinstitutional procedures. The terms of a framework contract shall only apply between those contracting authorities that are identified for that purpose in the procurement documents and those economic operators that are party to the framework contract. Where a contract or framework contract is necessary for the implementation of a joint action between a Union institution and one or more contracting authorities from Member States, the procurement procedure may be carried out jointly by the Union institution and the contracting authorities. Joint procurement may be conducted with EFTA States and Union candidate countries if that possibility has been specifically provided for in a bilateral or multilateral treaty. The procedural provisions applicable to Union institutions shall apply to the joint procurement. Where the share pertaining to or managed by the contracting authority of a Member State in the total estimated value of the contract is equal to or above 50 %, or in other duly justified cases, the Union institution may decide that the procedural rules applicable to the contracting authority of a Member State shall apply to the joint procurement, provided that those rules may be considered as equivalent to those of the Union institution. The Union institution and the contracting authority from a Member State, an EFTA State or a Union candidate country concerned by the joint procurement shall agree in particular upon the detailed practical arrangements for the evaluation of the requests for participation or of the tenders, the award of the contract, the law applicable to the contract and the competent court for hearing disputes."
