Head,Relation,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text
specific bank account,close,by the accounting officer of the commission,"['accounting officer', 'commission']",TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
transaction specific bank account year,account,properly for in the accounts of the union trust fund,"['account', 'union trust fund']",TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
disbursement forecast,provide,on an annual or where appropriate on a semiannual basis,['semiannual basis'],TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
contribution donor,take,into account,['account'],TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
contribution donor,cash,a specific bank account when,['specific bank account'],TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
interest accumulate specific bank account,invest,in the union trust fund except where otherwise provided in the constitutive agreement of the union trust fund,"['union trust fund', 'constitutive agreement', 'union trust fund']",TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
contribution,refer,in which to in paragraph 4,['paragraph'],TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
cost,cover,already by other budget lines,['budget line'],TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
management fee,assimilate,for the duration of the union trust fund to assigned revenue within the meaning of point(ii) of article 21(2,"['duration', 'union trust fund', 'assign revenue', 'mean', 'pointii', 'article 212']",TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
union trust fund,be,subject to an independent external audit,['independent external audit'],TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
countrys management public finance,be,where provided for in the relevant basic acts the commission may provide budget support to a third country where the following conditions are met,"['relevant basic act', 'commission', 'budget support', 'country', 'follow condition']",TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support ,"Where provided for in the relevant basic acts, the Commission may provide budget support to a third country where the following conditions are met: (a) the third country’s management of public finances is sufficiently transparent, reliable and effective; (b) the third country has put in place sufficiently credible and relevant sectoral or national policies; (c) the third country has put in place stability-oriented macroeconomic policies; (d) the third country has put in place sufficient and timely access to comprehensive and sound budgetary information. The payment of the Union contribution shall be based on the fulfilment of the conditions referred to in paragraph 1, including the improvement of the management of public finances. In addition, some payments may also be conditional on the achievement of milestones, measured by objective performance indicators, reflecting results and reform progress over time in the respective sector. In third countries, the Commission shall support the respect for the rule of law, the development of parliamentary control and audit and anti-corruption capacities and the increase of transparency and public access to information. The corresponding financing agreements concluded with the third country shall contain: (a) an obligation for the third country to provide the Commission with reliable and timely information which allows the Commission to evaluate the fulfilment of the conditions referred to in paragraph 2; (b) a right for the Commission to suspend the financing agreement if the third country breaches an obligation relating to respect for human rights, democratic principles and the rule of law and in serious cases of corruption; (c) appropriate provisions pursuant to which the third country is to commit to immediately reimburse all or part of the relevant operation funding, in the event that it is established that the payment of the relevant Union funds has been vitiated by serious irregularities attributable to that country. In order to process the reimbursement referred to in point (c) of the first subparagraph of this paragraph, the second subparagraph of Article 101(1) may be applied."
country,put,in place,['place'],TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support ,"Where provided for in the relevant basic acts, the Commission may provide budget support to a third country where the following conditions are met: (a) the third country’s management of public finances is sufficiently transparent, reliable and effective; (b) the third country has put in place sufficiently credible and relevant sectoral or national policies; (c) the third country has put in place stability-oriented macroeconomic policies; (d) the third country has put in place sufficient and timely access to comprehensive and sound budgetary information. The payment of the Union contribution shall be based on the fulfilment of the conditions referred to in paragraph 1, including the improvement of the management of public finances. In addition, some payments may also be conditional on the achievement of milestones, measured by objective performance indicators, reflecting results and reform progress over time in the respective sector. In third countries, the Commission shall support the respect for the rule of law, the development of parliamentary control and audit and anti-corruption capacities and the increase of transparency and public access to information. The corresponding financing agreements concluded with the third country shall contain: (a) an obligation for the third country to provide the Commission with reliable and timely information which allows the Commission to evaluate the fulfilment of the conditions referred to in paragraph 2; (b) a right for the Commission to suspend the financing agreement if the third country breaches an obligation relating to respect for human rights, democratic principles and the rule of law and in serious cases of corruption; (c) appropriate provisions pursuant to which the third country is to commit to immediately reimburse all or part of the relevant operation funding, in the event that it is established that the payment of the relevant Union funds has been vitiated by serious irregularities attributable to that country. In order to process the reimbursement referred to in point (c) of the first subparagraph of this paragraph, the second subparagraph of Article 101(1) may be applied."
country,put,sufficient and timely access to comprehensive and sound budgetary information in place,"['sufficient timely access', 'comprehensive sound budgetary information', 'place']",TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support ,"Where provided for in the relevant basic acts, the Commission may provide budget support to a third country where the following conditions are met: (a) the third country’s management of public finances is sufficiently transparent, reliable and effective; (b) the third country has put in place sufficiently credible and relevant sectoral or national policies; (c) the third country has put in place stability-oriented macroeconomic policies; (d) the third country has put in place sufficient and timely access to comprehensive and sound budgetary information. The payment of the Union contribution shall be based on the fulfilment of the conditions referred to in paragraph 1, including the improvement of the management of public finances. In addition, some payments may also be conditional on the achievement of milestones, measured by objective performance indicators, reflecting results and reform progress over time in the respective sector. In third countries, the Commission shall support the respect for the rule of law, the development of parliamentary control and audit and anti-corruption capacities and the increase of transparency and public access to information. The corresponding financing agreements concluded with the third country shall contain: (a) an obligation for the third country to provide the Commission with reliable and timely information which allows the Commission to evaluate the fulfilment of the conditions referred to in paragraph 2; (b) a right for the Commission to suspend the financing agreement if the third country breaches an obligation relating to respect for human rights, democratic principles and the rule of law and in serious cases of corruption; (c) appropriate provisions pursuant to which the third country is to commit to immediately reimburse all or part of the relevant operation funding, in the event that it is established that the payment of the relevant Union funds has been vitiated by serious irregularities attributable to that country. In order to process the reimbursement referred to in point (c) of the first subparagraph of this paragraph, the second subparagraph of Article 101(1) may be applied."
